times,hand_x_old,hand_y_old,hand_z_old,elbow_x_old,elbow_y_old,elbow_z_old,shoulder_x,shoulder_y,shoulder_z,hand_x,hand_y,hand_z,elbow_x,elbow_y,elbow_z
0.5359699726,-278.0651404106,-666.4482464878,-1941.8468589299,1196.9560417764,-217.7550813151,-1294.7123919678,0,0,0,-695.1628510265,-1666.1206162194,-4854.6171473246,2992.390104441,-544.3877032878,-3236.7809799194
0.5832841396,-313.4560576907,-596.3870959746,-1861.736135503,1191.3228105103,-258.9018239365,-1290.206630744,0,0,0,-783.6401442267,-1490.9677399364,-4654.3403387576,2978.3070262757,-647.2545598412,-3225.5165768599
0.6169042587,-328.4579907388,-629.3503227546,-1801.6439370793,1187.9631811956,-284.6045647247,-1289.2139808573,0,0,0,-821.144976847,-1573.3758068864,-4504.1098426982,2969.9079529889,-711.5114118117,-3223.0349521433
0.6888744831,-373.7214528064,-659.7636706986,-1618.6565316957,1180.334517899,-171.3421734584,-1310.5092826134,0,0,0,-934.303632016,-1649.4091767464,-4046.6413292393,2950.8362947474,-428.355433646,-3276.2732065334
0.7647073269,-379.2995256281,-753.0416578408,-1502.7112427235,1175.5462439017,-204.3127070872,-1309.0755697061,0,0,0,-948.2488140702,-1882.6041446021,-3756.7781068088,2938.8656097542,-510.7817677181,-3272.6889242654
0.7927806377,-381.2578695769,-759.2376043961,-1457.1327045505,1175.2283533802,-209.7967446599,-1309.8544850435,0,0,0,-953.1446739422,-1898.0940109904,-3642.8317613764,2938.0708834506,-524.4918616497,-3274.6362126087
2.5788640976,-138.6416973624,-802.6102181463,-2278.7138154773,1190.9178526118,29.3718051838,-1347.342659512,0,0,0,-346.604243406,-2006.5255453659,-5696.7845386933,2977.2946315294,73.4295129594,-3368.3566487801
2.6270360947,-85.2155837563,-834.2693648513,-2354.5824331365,1193.0305652061,28.3470285861,-1348.4082219078,0,0,0,-213.0389593906,-2085.6734121282,-5886.4560828414,2982.5764130152,70.8675714652,-3371.0205547694
2.6556096077,-60.7963840552,-825.7138670613,-2398.3885151804,1193.4204391314,20.828951223,-1349.4499753475,0,0,0,-151.9909601381,-2064.2846676533,-5995.971287951,2983.5510978285,52.0723780574,-3373.6249383688
2.7258780003,-36.3854345346,-810.421582052,-2437.1227437698,1183.4478637316,-53.5559835821,-1351.1494887521,0,0,0,-90.9635863365,-2026.05395513,-6092.8068594244,2958.6196593289,-133.8899589553,-3377.8737218803
2.7617092133,-11.7233736973,-808.3415001444,-2471.6291478377,1169.9346342456,-153.946719896,-1342.7446017544,0,0,0,-29.3084342432,-2020.8537503609,-6179.0728695942,2924.8365856139,-384.8667997399,-3356.8615043859
2.7986922264,38.0722689341,-844.5889607795,-2524.953050932,1159.6634907884,-233.0501556943,-1339.5435118612,0,0,0,95.1806723353,-2111.4724019487,-6312.3826273301,2899.1587269711,-582.6253892357,-3348.8587796529
2.8323559761,61.4253837512,-818.110933762,-2558.7819023948,1157.8557518843,-255.5215231586,-1338.3228137211,0,0,0,153.563459378,-2045.277334405,-6396.9547559869,2894.6393797107,-638.8038078966,-3345.8070343026
2.893450737,107.8415599138,-807.509344255,-2617.830620292,1156.8219585175,-298.3123980771,-1339.7049097956,0,0,0,269.6038997846,-2018.7733606376,-6544.5765507301,2892.0548962938,-745.7809951927,-3349.2622744889
2.9141261578,129.427054951,-819.734812894,-2633.074359699,1157.1807424017,-288.8740025392,-1341.0097090453,0,0,0,323.5676373774,-2049.3370322349,-6582.6858992474,2892.9518560042,-722.185006348,-3352.5242726132
2.9670505524,149.3926409178,-799.0839033821,-2659.6649866753,1153.029288588,-297.8182400633,-1340.2837048115,0,0,0,373.4816022946,-1997.7097584552,-6649.1624666882,2882.57322147,-744.5456001583,-3350.7092620287
2.9922575951,171.0172120651,-784.4162076447,-2692.429258157,1154.9171936299,-300.8462283953,-1345.3087305895,0,0,0,427.5430301628,-1961.0405191117,-6731.0731453926,2887.2929840748,-752.1155709882,-3363.2718264738
3.055546999,213.4344560722,-776.8154506581,-2745.2050456974,1156.4793303952,-296.4483644784,-1346.794655875,0,0,0,533.5861401805,-1942.0386266452,-6863.0126142434,2891.198325988,-741.1209111959,-3366.9866396875
3.0848624706,234.8710741864,-752.8263159459,-2776.3761477765,1148.2307110288,-328.1596916194,-1353.2414921524,0,0,0,587.1776854661,-1882.0657898647,-6940.9403694412,2870.576777572,-820.3992290485,-3383.1037303809
3.1426200867,254.9609948526,-754.8376423278,-2797.9100378483,1145.1962588578,-339.359195875,-1355.6714212264,0,0,0,637.4024871314,-1887.0941058196,-6994.7750946207,2862.9906471446,-848.3979896874,-3389.178553066
3.1736450195,273.0160405282,-744.0500199744,-2820.1274170106,1144.9306629539,-330.7773504053,-1359.7471948155,0,0,0,682.5401013205,-1860.125049936,-7050.3185425266,2862.3266573847,-826.9433760132,-3399.3679870389
3.2265691757,297.4357741578,-811.1836572165,-2816.9069028317,1146.2279596824,-334.051637179,-1361.1107259627,0,0,0,743.5894353945,-2027.9591430412,-7042.2672570793,2865.569899206,-835.1290929475,-3402.7768149066
3.2534661293,301.0475861055,-732.5655087476,-2836.7632915341,1154.8115368252,-292.2107225149,-1361.096061883,0,0,0,752.6189652637,-1831.413771869,-7091.9082288352,2887.0288420629,-730.5268062873,-3402.7401547075
3.3021748066,297.8999243168,-653.0260931031,-2852.4540744048,1159.7080514018,-291.1800222077,-1356.3489309509,0,0,0,744.749810792,-1632.5652327579,-7131.1351860121,2899.2701285045,-727.9500555192,-3390.8723273773
3.3427381516,288.2060660267,-630.5411410127,-2841.2523507741,1167.9790802119,-270.3631563798,-1353.0747438906,0,0,0,720.5151650668,-1576.3528525317,-7103.1308769352,2919.9477005297,-675.9078909495,-3382.6868597265
3.3915841579,247.1961208707,-642.4574131273,-2787.3420426875,1170.7680361359,-292.0046334294,-1339.9635806343,0,0,0,617.9903021769,-1606.1435328182,-6968.3551067189,2926.9200903398,-730.0115835736,-3349.9089515857
3.4244234562,217.9881247455,-671.7891148718,-2741.4504487105,1170.1122043425,-288.1111526747,-1333.3104670465,0,0,0,544.9703118637,-1679.4727871796,-6853.6261217763,2925.2805108563,-720.2778816867,-3333.2761676162
3.4554927349,185.1276385144,-674.0871505612,-2705.3222098301,1171.8498849378,-276.8049630702,-1329.9531759939,0,0,0,462.819096286,-1685.217876403,-6763.3055245751,2929.6247123444,-692.0124076755,-3324.8829399847
3.5254626274,148.7523256236,-675.978847834,-2665.6079858961,1169.6342235436,-282.722105565,-1324.0008233367,0,0,0,371.880814059,-1689.9471195851,-6664.0199647402,2924.0855588589,-706.8052639126,-3310.0020583417
3.5897526741,109.9833349856,-693.158842594,-2626.9180437978,1172.3843063804,-285.557421664,-1324.0755829734,0,0,0,274.9583374639,-1732.8971064851,-6567.2951094944,2930.960765951,-713.8935541599,-3310.1889574335
3.6475327015,68.1784873967,-691.3582001663,-2582.6227323239,1170.8166319557,-280.6941110687,-1323.6420700158,0,0,0,170.4462184917,-1728.3955004158,-6456.5568308097,2927.0415798893,-701.7352776718,-3309.1051750396
3.7027273178,71.0480504656,-714.0955858239,-2577.8522563147,1167.0407329097,-274.2550051883,-1314.2685799085,0,0,0,177.6201261639,-1785.2389645598,-6444.6306407866,2917.6018322741,-685.6375129707,-3285.6714497714
3.7454309464,71.5806675122,-703.6791377494,-2575.5242075146,1164.4466805465,-284.2418972807,-1310.2493683057,0,0,0,178.9516687804,-1759.1978443736,-6438.8105187866,2911.1167013661,-710.6047432018,-3275.6234207643
